Dates,US Staples,EU Healthcare,Japan,Brazil,Nasdaq,US 2y,US 15y,Germany 10y,UK 15y,US HY,Oil,Ind Metals,Agri,Gold,Silver,EURUSD,USDJPY,CHFJPY,EURBRL,GBPMXN
12/02/13,37.44,50.82,40.32,55.9,67.73,84.4,116.74,125.8,48.08,93.31,282.24,15.965,7.985,159.89,30.09,1.3454,93.48,101.936,2.6355,19.8848
13/02/13,37.48,51.13,40.16,56.41,67.97,84.39,115.79,125.6,47.5,93.45,281.52,16.01,7.9575,159.05,29.77,1.3452,93.39,101.865,2.643,19.7167
14/02/13,37.558,51.26,39.76,56.15,67.95,84.4,116.84,125.85,47.78,93.41,282.16,16.05,7.9275,158.348,29.46,1.3363,92.88,100.825,2.6137,19.6715
15/02/13,37.61,51.43,39.64,56.17,67.75,84.41,116.5,125.73,47.67,93.42,277.76,16.045,7.97,155.76,28.8333,1.336,93.5,101.433,2.6282,19.692
18/02/13,37.61,51.4,39.64,56.17,67.75,84.41,116.5,125.93,47.65,93.42,277.76,15.81,7.9825,155.76,28.8333,1.3351,93.96,101.76,2.621,19.6179
19/02/13,37.99,51.91,40.24,56.32,68.24,84.4,115.92,125.94,47.69,93.51,279.68,15.65,7.995,155.33,28.445,1.3388,93.57,101.426,2.6188,19.4821
20/02/13,37.92,52.25,40.36,55.09,67.19,84.4,116.27,125.7,47.52,93.42,273.36,15.49,8.07,151.44,27.59,1.3283,93.57,100.928,2.605,19.3854
21/02/13,38.04,51.53,39.88,54.25,66.47,84.43,116.95,126.22,48.18,93.52,267.44,15.32,8.0025,152.62,27.73,1.319,93.11,100.012,2.6006,19.4438
22/02/13,38.26,52.29,40.52,54.82,67.139,84.43,117.03,126.34,48.24,93.75,268.8,15.145,8.0675,152.97,27.83,1.3194,93.42,100.497,2.601,19.2629
25/02/13,37.74,52.43,39.96,54.2,66.31,84.45,119.33,126.25,48.28,93.46,265.68,15.15,7.9175,154.34,28.07,1.3063,91.82,98.502,2.5896,19.4072
26/02/13,37.83,52.12,40.72,54.66,66.56,84.47,118.64,127.1,49.01,93.92,266.64,15.105,7.93,156.22,28.41,1.3061,91.98,98.703,2.5894,19.4259
27/02/13,38.11,52.23,40.68,55.03,67.239,84.47,118.29,127.2,49.12,94.08,267.2,15.1,7.9675,154.57,28.01,1.3139,92.24,99.219,2.592,19.3508
28/02/13,38.09,52.77,40.84,55.13,67.1,84.46,118.51,127.18,49.14,94.04,264.48,15.02,8.0325,153,27.54,1.3057,92.56,98.799,2.5815,19.3769
01/03/13,38.22,52.99,41.24,55.2,67.38,84.46,118.9,127.52,49.88,93.72,261.92,14.78,7.9963,152.44,27.62,1.3022,93.59,99.268,2.579,19.1861
04/03/13,38.51,53.27,41.48,54.78,67.68,84.45,118.27,127.44,49.63,93.73,259.2,14.775,8.0025,152.3,27.6,1.3026,93.48,99.352,2.5643,19.2654
05/03/13,38.64,53.85,41.56,55.1,68.68,84.44,117.93,127.17,49.17,93.92,261.52,14.815,8.0763,152.38,27.75,1.3052,93.29,99.151,2.5614,19.2148
06/03/13,38.55,53.55,42.08,56.44,68.51,84.43,116.86,127.15,49.21,93.86,260.32,14.685,8.0087,153.23,28.1,1.2967,94.07,99.156,2.5598,19.197
07/03/13,38.55,53.58,41.676,57.29,68.69,84.41,115.96,126.85,48.73,94,263.52,14.77,7.9838,152.69,27.91,1.3107,94.82,100.59,2.5652,19.156
08/03/13,38.62,53.6,41.86,57.65,68.77,84.42,114.75,126.7,48.55,94.11,264.4,14.735,8.06,152.71,28.005,1.3005,96,100.914,2.5279,18.8489
11/03/13,38.66,53.66,42.12,57.26,68.97,84.41,114.86,126.72,48.87,94.05,264.32,14.705,8.11,152.99,28.02,1.3046,96.28,101.66,2.555,18.7037
12/03/13,38.62,53.87,41.66,57.04,68.72,84.43,115.69,126.94,49.03,94.01,266.08,14.89,8.1075,154.19,28.2,1.3034,96.08,101.447,2.5602,18.5462
13/03/13,38.72,53.79,41.92,56.29,68.63,84.41,115.57,127.01,49,94.03,265.52,14.82,8.045,153.66,27.94,1.2961,96.13,100.916,2.5558,18.5529
14/03/13,38.85,54.11,42.16,56.02,68.86,84.41,115.22,126.99,48.86,94.39,267.36,14.825,8.075,153.68,27.8,1.3005,96.11,101.473,2.5636,18.738
15/03/13,38.485,54.33,42.56,55.73,68.51,84.44,115.76,127.15,49.15,94.38,268.8,14.77,8.0988,154.001,27.799,1.3076,95.28,101.495,2.5922,18.7917
18/03/13,38.37,54.14,42.356,55.32,68.36,84.46,116.64,127.52,49.56,94.4,269.2,14.46,7.9575,155.38,27.95,1.2957,95.21,100.64,2.5695,18.7544
19/03/13,38.69,54.66,42.6,55.06,68.23,84.45,117.43,128.09,50.1,94.24,264.56,14.385,8.0125,156.08,27.93,1.2882,95.16,100.5,2.5561,18.7823
20/03/13,39.06,54.99,42.92,54.74,68.709,84.44,116.12,127.74,49.96,94.55,267.6,14.545,8.0375,155.37,27.81,1.2933,96.01,101.58,2.5729,18.6531
21/03/13,38.94,54.81,42.92,53.85,67.93,84.45,117.24,127.98,49.975,94.38,264.4,14.475,8.0675,156.246,28.18,1.2899,94.9,100.277,2.5902,18.8588
22/03/13,39.3,54.92,43.08,53.7,68.59,84.43,117.33,127.83,50.145,94.31,268.88,14.625,8.05,155.55,27.75,1.2989,94.46,100.438,2.6092,18.8107
25/03/13,39.27,55.26,42.68,53.39,68.34,84.43,117.22,128.02,50.395,94.17,270.8,14.555,8.0725,155.24,27.84,1.2853,94.17,99.288,2.5869,18.739
26/03/13,39.64,55.53,43.06,53.71,68.71,84.44,117.36,127.97,50.5,94.34,275.6,14.475,8.0725,154.72,27.75,1.2861,94.44,99.616,2.5946,18.7242
27/03/13,39.61,55.54,43.28,54.23,68.801,84.46,118.36,128.49,50.94,94.18,276.4,14.395,8.11,155.36,27.73,1.278,94.46,99.01,2.5692,18.6646
28/03/13,39.77,56.03,43.2,54.48,68.97,84.47,117.76,128.37,50.695,94.35,278,14.34,7.8,154.47,27.43,1.2816,94.15,99.122,2.5912,18.7732
29/03/13,39.77,56.03,43.2,54.48,68.97,84.47,117.76,128.37,50.695,94.35,278,14.34,7.8,154.47,27.43,1.2819,94.22,99.23,2.5912,18.7188
01/04/13,39.75,56.03,41.52,53.97,68.5,84.46,118.39,128.37,50.695,94.03,277.44,14.34,7.8,154.67,27.09,1.2849,93.23,98.497,2.5968,18.8286
02/04/13,40.18,56.56,42.02,53.59,69.04,84.46,117.91,128.16,50.61,93.96,277.2,14.085,7.63,152.43,26.35,1.282,93.44,98.443,2.5892,18.5399
03/04/13,39.74,56.5,41.88,53.35,68.41,84.45,118.969,128.26,50.825,93.96,270.08,14.025,7.655,150.73,26.09,1.285,93.04,98.43,2.6016,18.6743
04/04/13,39.95,55.86,43.6,53.23,68.43,84.48,120.39,128.53,51.225,93.93,267.12,14.145,7.63,150.29,25.99,1.2936,96.34,102.511,2.607,18.7482
05/04/13,39.66,55.02,43.84,54.11,67.861,84.48,122.82,129.1,52.34,94.02,266.24,14.075,7.5775,152.81,26.39,1.2991,97.57,104.566,2.5802,18.6709
08/04/13,40.11,55.6,44.28,54.07,68.22,84.46,121.88,128.91,52.015,94.12,267.92,14.1,7.6375,152.16,26.32,1.3009,99.36,106.236,2.5901,18.6063
09/04/13,40.07,55.48,43.92,55.14,68.68,84.46,121.58,128.7,51.655,94.42,269.12,14.32,7.6375,153.34,27.03,1.3083,99.02,106.188,2.5922,18.6106
10/04/13,40.37,56.06,44.84,55.71,70.015,84.46,119.91,128.3,51.195,94.72,270.64,14.245,7.665,150.75,26.68,1.307,99.78,106.983,2.5787,18.5627
11/04/13,40.565,56.48,45.36,55.2,69.99,84.46,120.14,128.22,51.09,94.721,267.68,14.23,7.6788,151.05,26.7,1.3099,99.68,107.086,2.5882,18.5405
12/04/13,40.71,56.35,45.44,54.98,69.94,84.47,121.93,128.54,51.265,94.75,260.24,13.95,7.715,143.95,25.28,1.3113,98.37,106.122,2.5816,18.5261
15/04/13,40.06,56.52,45.072,52.91,68.56,84.48,122.99,128.59,51.44,94.15,251.92,13.73,7.6275,131.31,22.09,1.3036,96.77,103.91,2.6078,18.7739
16/04/13,40.81,55.81,45.52,53.71,69.47,84.48,121.98,128.44,51.36,94.8,254.08,13.96,7.6438,132.8,22.665,1.3177,97.54,105.715,2.6191,18.6597
17/04/13,40.46,55.01,45.18,52.51,68.115,84.48,122.79,128.69,51.615,94.65,248.08,13.695,7.69,132.87,22.44,1.3032,98.12,105.185,2.6065,18.6026
18/04/13,40.38,55.6,44.86,52.44,67.169,84.48,123.09,128.7,51.76,94.5,253.12,13.73,7.6975,134.3,22.4,1.3051,98.17,105.262,2.6349,18.7522
19/04/13,41.01,55.65,45.36,53.2,68.09,84.48,122.83,128.53,51.75,94.45,251.12,13.57,7.6888,135.47,22.4,1.3052,99.52,106.754,2.6235,18.6767
22/04/13,41.11,55.57,45.32,53.12,68.79,84.49,122.92,128.77,51.87,94.67,254.56,13.51,7.61,137.9,22.62,1.3066,99.23,106.224,2.6401,18.7715
23/04/13,41.43,56.64,45.74,53.76,69.45,84.48,122.49,128.62,51.5,95.04,254.88,13.52,7.5888,136.88,22.18,1.2996,99.48,105.21,2.6295,18.6616
24/04/13,40.77,56.8,46.02,54.29,69.42,84.49,122.8,128.75,51.485,95.21,261.272,13.675,7.5375,138.3699,22.42,1.3015,99.51,105.09,2.6167,18.5843
25/04/13,40.9,56.74,46.28,54.56,69.79,84.48,122.27,128.75,51.36,95.47,266,13.975,7.595,141.63,23.49,1.3011,99.26,105.051,2.6046,18.7802
26/04/13,40.89,56.72,46.16,53.72,69.57,84.5,123.39,129.01,51.71,95.37,264.96,13.68,7.6125,140.91,23.1,1.303,98.05,103.981,2.604,18.7913
29/04/13,41.02,56.99,46.44,54.16,70.21,84.52,122.94,129.07,51.915,95.55,268.88,13.745,7.72,142.3,23.54,1.3099,97.76,104.382,2.6286,18.9206
30/04/13,40.94,56.72,46.8,55.15,70.72,84.51,123.01,129.02,51.83,95.85,265.28,13.51,7.7925,142.77,23.46,1.3168,97.45,104.834,2.6357,18.846
01/05/13,40.9,56.72,46.28,54.47,70.39,84.51,124.0099,129.02,52.07,95.2,259.12,13.205,7.7175,141.11,22.86,1.318,97.39,105.015,2.6357,18.9759
02/05/13,41.05,56.72,46.46,54.68,71.28,84.5,123.85,129.4,52.47,95.8101,267.92,13.14,7.7363,141.92,23.02,1.3065,97.94,104.757,2.625,18.9111
03/05/13,41.23,56.75,47.12,54.81,72.12,84.47,120.93,128.7,51.535,95.96,272.08,13.735,7.8075,142.09,23.29,1.3114,98.99,105.847,2.6358,18.8026
06/05/13,40.93,56.71,46.92,54.74,72.4,84.47,120.63,128.7,51.535,96.02,273.12,13.735,7.8075,142.15,23.18,1.3076,99.33,105.855,2.6278,18.8165
07/05/13,41.2401,56.7,47,55.57,72.36,84.47,120.16,128.23,51.11,95.95,272.08,13.735,7.685,140.38,23.1,1.3079,99,105.276,2.6261,18.6269
08/05/13,41.29,57.37,47.4,55.67,72.71,84.48,120.35,128.48,51.19,96.29,275.2,14.005,7.705,142.46,23.12,1.3153,99.01,105.837,2.6373,18.6061
09/05/13,41,57.34,47.04,55.23,72.6065,84.47,120.04,128.51,50.94,96.01,273.36,13.88,7.8025,140.81,22.89,1.3043,100.59,106.105,2.6259,18.5342
10/05/13,41.16,57.98,47.04,54.81,73.05,84.46,118.75,127.63,50.24,95.51,273.12,13.74,7.7688,139.6,22.98,1.2989,101.62,106.207,2.6252,18.5592
13/05/13,41.23,58.09,47.64,54.73,73.14,84.44,117.84,127.8,50.32,95.12,270.88,13.83,7.805,138.43,22.83,1.2975,101.82,106.337,2.6054,18.6113
14/05/13,41.72,58.14,47.96,54.4,73.52,84.44,116.56,127.75,50.22,95.22,268.48,13.65,7.785,137.81,22.57,1.292,102.42,105.883,2.6101,18.5493
15/05/13,42.135,58.89,48.38,54.43,73.67,84.45,117.341,127.73,50.04,95.23,268.88,13.46,7.7775,134.63,21.76,1.2887,102.25,105.978,2.607,18.5902
16/05/13,41.8768,58.59,47.68,54.42,73.59,84.47,118.56,128.12,50.39,95.46,270.96,13.61,7.7025,134.09,21.95,1.2882,102.26,105.996,2.6101,18.7497
17/05/13,41.94,58.24,48.44,54.46,74.3,84.45,117.06,128.2,50.15,95.46,273.68,13.66,7.73,131.07,21.4,1.2839,103.21,106.113,2.6131,18.7282
20/05/13,41.51,58.48,48.76,54.93,74.19,84.46,116.922,127.78,49.91,95.56,275.512,13.8,7.7425,135.12,22.28,1.2882,102.27,105.738,2.6287,18.7601
21/05/13,41.55,58.67,49.04,55.27,74.27,84.46,117.84,127.52,49.9,95.74,272.88,13.705,7.7175,132.88,21.62,1.2906,102.5,105.662,2.6329,18.6932
22/05/13,41.48,59.39,48.52,54.91,73.619,84.43,116.09,127.71,50.07,95.15,267.68,13.9,7.79,131.94,21.51,1.2858,103.16,105.448,2.6356,18.6941
23/05/13,41.31,58.43,46.48,54.65,73.45,84.45,116.64,127.55,50,94.89,268.32,13.585,7.8575,134.61,21.88,1.2934,102.02,105.292,2.6456,18.7299
24/05/13,41.7,58.57,45.62,54.58,73.41,84.43,116.8,127.7,50.32,94.71,266.96,13.585,7.805,133.76,21.61,1.2932,101.31,105.362,2.6518,18.9701
27/05/13,41.7,58.69,45.62,54.58,73.41,84.43,116.8,127.42,50.32,94.71,266.96,13.585,7.805,133.76,21.61,1.2931,100.96,104.82,2.6583,18.8269
28/05/13,41.77,58.99,45.36,54.31,73.89,84.37,113.838,127.13,49.91,94.36,270.32,13.625,7.8325,133.49,21.53,1.2856,102.37,104.792,2.6664,18.9992
29/05/13,40.97,57.58,44.6,52.4,73.54,84.37,115.118,126.41,49.65,93.98,264.8,13.625,7.765,134.83,21.71,1.2941,101.16,105.215,2.732,19.1423
30/05/13,40.81,57.49,44.36,52.37,73.93,84.39,114.84,126.54,49.935,94.17,266,13.81,7.7325,136.7,21.98,1.305,100.73,105.686,2.732,19.4762
31/05/13,40.05,56.91,43.36,50.89,73.25,84.38,114.45,126.58,49.625,92.92,260.88,13.78,7.8013,133.92,21.435,1.2999,100.45,105.247,2.7829,19.4669
03/06/13,40.49,56.26,42.84,51.48,73.38,84.39,114.78,126.52,49.57,92.36,265.28,13.905,7.7838,136.51,21.9781,1.3076,99.53,105.078,2.7785,19.5221
04/06/13,40.5,56.39,44.08,51.13,73,84.39,113.72,126.34,49.28,92.36,265.6,14.04,7.84,135.23,21.77,1.3081,100.03,105.627,2.7836,19.4683
05/06/13,40.01,55.88,42.4,50.15,72.05,84.4,115.29,126.61,49.45,91.56,266.08,14.185,7.8625,135.52,21.78,1.3093,99.06,105.145,2.7884,19.8056
06/06/13,40.18,55.16,42.36,50.41,72.4,84.39,115.22,126.43,49.55,92.28,268.96,13.925,7.8425,136.53,21.93,1.3246,96.97,104.349,2.8185,19.9742
07/06/13,40.68,55.83,44,49.73,73.39,84.38,113.16,126.3,49.33,92.34,273.28,13.78,7.8625,133.28,20.86,1.3218,97.56,104.228,2.8196,19.8505
10/06/13,40.68,56.01,44.56,49.19,73.42,84.35,112.62,126.05,48.98,92.15,272,13.67,7.7625,133.94,21.16,1.3257,98.76,105.78,2.8474,20.1152
11/06/13,40.58,55.69,43.68,48.23,72.69,84.34,113.96,125.95,48.945,91.58,270.32,13.425,7.8238,133.25,20.91,1.3313,96.03,103.844,2.8455,20.0765
12/06/13,40.38,56.06,43.8,47.29,71.85,84.33,112.33,126.05,49.12,91.65,272.24,13.395,7.7975,134.25,21.02,1.3337,96.02,104.264,2.8752,20.2721
13/06/13,40.8,55.78,44.84,48.27,72.76,84.37,114.09,126.29,49.14,92.7,274.64,13.26,7.6938,133.74,21.04,1.3375,95.37,103.447,2.8368,19.8499
14/06/13,40.7,55.71,43.44,47.63,72.28,84.43,113.82,126.64,49.41,92.81,277.92,13.31,7.7175,134.43,21.33,1.3347,94.31,102.21,2.8662,19.9675
17/06/13,41.06,56.14,44.6,47.38,72.98,84.43,113.22,126.52,49.14,92.8,278.08,13.275,7.76,133.77,21.1,1.3367,94.51,102.416,2.9012,20.1789
18/06/13,41.21,55.79,45.36,47.09,73.58,84.43,113.28,126.19,48.97,93.03,279.68,13.18,7.77,132.13,20.88,1.3392,95.33,103.592,2.922,20.171
19/06/13,40.39,55.69,44.8,45.39,72.76,84.33,112.11,126.24,49.12,91.64,278.24,13.11,7.855,130.59,20.6,1.3295,96.45,103.901,2.9599,20.51
20/06/13,39.17,54.1,42.94,43.94,71.025,84.32,110.27,125.5,48.455,90.74,269.04,12.86,7.7725,123.6,18.965,1.322,97.28,104.911,2.9833,20.729
21/06/13,39.43,53.83,44.5,43.94,70.43,84.245,108.402,125.1,47.79,90.15,265.84,12.915,7.7625,125.05,19.389,1.3122,97.9,104.737,2.9446,20.5133
24/06/13,39.265,52.94,43.28,43.07,69.73,84.21,108.85,124.66,47.39,89.04,269.12,12.665,7.655,123.93,18.97,1.312,97.73,104.708,2.9223,20.5185
25/06/13,39.33,53.47,43.82,43.77,70.24,84.195,107.88,124.81,47.42,90.31,269.92,12.915,7.6825,123.47,18.91,1.3077,97.81,104.242,2.8958,20.3908
26/06/13,39.74,54.72,43.62,44.5801,70.87,84.24,108.58,125.03,47.67,91.06,270.4,12.75,7.6575,118.28,17.8881,1.3012,97.72,103.633,2.8471,20.1589
27/06/13,39.92,55.66,44.52,44.29,71.17,84.29,109.69,125.28,47.86,91.5,274.64,12.785,7.635,115.94,17.89,1.3038,98.35,104.039,2.8605,19.8706
28/06/13,39.67,55.33,44.88,43.86,71.27,84.28,110.44,125.31,47.78,90.88,273.44,12.85,7.5325,119.11,18.97,1.301,99.14,104.923,2.9015,19.671
01/07/13,39.96,55.56,45.44,43.79,71.71,84.3,110.41,125.43,47.99,90.89,277.36,13.105,7.4325,121.13,18.93,1.3064,99.66,105.435,2.9123,19.7222
02/07/13,40.01,55.44,45.76,42.33,71.74,84.31,110.34,125.48,48.07,90.61,281.68,13.185,7.3938,120.05,18.678,1.2979,100.63,105.861,2.9187,19.7833
03/07/13,39.93,55.21,45.8,42.04,72.031,84.3,110.01,125.77,47.91,90.82,286.72,13.11,7.3975,120.74,19.02,1.3009,99.91,105.56,2.9516,19.7957
04/07/13,39.93,56.34,45.8,42.04,72.031,84.3,110.01,125.98,47.89,90.82,286.72,13.035,7.4213,120.74,19.02,1.2914,100.04,104.558,2.9036,19.4652
05/07/13,40.03,55.99,46.4,41.47,72.58,84.21,106.26,125.47,47.42,89.85,292.48,12.755,7.3688,118.09,18.21,1.2829,101.2,104.982,2.89,19.4699
08/07/13,40.43,56.47,46.08,41.46,72.65,84.27,107.29,125.59,47.35,91.09,291.28,12.89,7.38,119.51,18.42,1.287,100.97,104.786,2.9136,19.2552
09/07/13,40.73,56.76,46.32,41.97,73.09,84.26,107.4,125.93,47.725,91.14,294.16,12.725,7.4963,120.62,18.57,1.2781,101.15,103.991,2.8885,19.1718
10/07/13,40.78,57.02,46.16,41.52,73.51,84.26,106.555,125.88,47.865,91.5,299.44,12.93,7.5763,120.95,18.48,1.2978,99.68,104.006,2.9378,19.3673
11/07/13,41.42,56.95,47.52,42.94,74.97,84.33,107.81,126.05,48.09,92.65,296.08,13.13,7.5763,124.24,19.49,1.3097,98.96,104.495,2.9552,19.4456
12/07/13,41.43,57.14,47.44,42.29,75.3,84.28,107.72,126.49,48.44,92.56,300.48,13.16,7.5025,124.13,19.21,1.3067,99.22,104.822,2.9635,19.3624
15/07/13,41.49,56.63,47.88,43.48,75.47,84.32,108.29,126.31,48.3,92.95,301.36,12.975,7.4375,124.18,19.28,1.3062,99.86,105.296,2.9036,19.1278
16/07/13,41.34,55.93,47.48,43.285,75.37,84.33,108.66,126.52,48.59,92.72,299.84,13.09,7.5525,124.89,19.33,1.3162,99.1,105.529,2.9672,19.1398
17/07/13,41.42,56.16,47.92,43.99,75.56,84.36,108.86,126.61,48.55,93.4,302.4,13,7.5125,123.32,18.66,1.3125,99.59,105.821,2.9196,18.9536
18/07/13,41.56,56.35,48.16,44.2,75.37,84.35,107.5,126.72,48.49,93.96,306.72,12.98,7.4963,124.01,18.72,1.3109,100.43,106.311,2.9205,19.0371
19/07/13,41.8,55.99,47.8,43.72,74.59,84.39,109.2,126.67,48.31,93.9,307.6,13.05,7.4875,125.11,18.88,1.3143,100.65,106.911,2.948,19.1334
22/07/13,41.71,55.89,47.92,44.53,74.81,84.39,109.36,126.7,48.5,93.97,303.36,13.25,7.5163,128.84,19.77,1.3186,99.67,106.447,2.9448,19.2019
23/07/13,41.63,55.35,47.88,45.16,74.26,84.38,108.9,126.4,48.1,93.74,304.72,13.2,7.445,129.71,19.77,1.3223,99.43,106.35,2.9268,19.2021
24/07/13,41.36,55.84,47.46,44.29,74.5,84.34,107.52,125.84,47.74,92.95,299.2,13.26,7.35,127.48,19.4681,1.3201,100.27,106.952,2.9685,19.3288
25/07/13,41.58,55.69,46.6,44.76,74.97,84.39,107.48,125.61,47.87,92.74,300.64,13.16,7.215,128.67,19.5,1.3277,99.29,106.782,2.9784,19.3975
26/07/13,41.53,55.34,45.52,44.66,75.37,84.4,108.14,125.67,48.08,92.78,297.68,12.88,7.2075,128.78,19.32,1.3279,98.21,105.731,2.9963,19.4843
29/07/13,41.44,55.62,44.52,44.2,75.23,84.39,107.35,125.7,48.19,92.58,297.04,12.85,7.2025,128.47,19.14,1.3262,97.96,105.206,3.0078,19.5675
30/07/13,41.4,55.5,44.92,43.67,75.63,84.4,107.31,125.64,48.245,92.71,293.36,12.67,7.22,128.12,19.03,1.3263,98.03,105.429,3.0264,19.4567
31/07/13,41.39,55.47,44.9,43.5,75.77,84.4,107.7,125.65,47.41,92.98,298.88,12.83,7.2075,127.96,19.14,1.3302,97.88,105.673,3.0284,19.3626
01/08/13,41.73,55.73,46.12,43.89,76.54,84.35,105.3601,125.66,47.31,91.65,306.16,13.07,7.135,126.61,18.97,1.3207,99.54,106.241,3.041,19.3947
02/08/13,41.75,55.88,46.84,43.96,76.97,84.41,106.52,125.77,47.28,92.21,303.52,13.115,7.1638,126.36,19.12,1.3276,98.94,106.49,3.0351,19.3611
05/08/13,41.78,55.91,46.96,43.29,77.02,84.4,105.7,125.51,47.1,91.74,302.64,12.975,7.0363,125.7,19.009,1.3258,98.3,105.997,3.0545,19.4178
06/08/13,41.73,56.08,47,42.78,76.56,84.39,106.01,125.44,47.11,91.65,299.68,12.97,7.0138,123.97,18.83,1.3305,97.74,105.561,3.059,19.3727
07/08/13,41.53,56.14,46.12,42.46,76.42,84.41,106.8,125.52,47.12,91.36,296.08,12.94,6.9988,124.15,18.83,1.3336,96.33,104.521,3.0862,19.6968
08/08/13,41.75,55.89,45.9,43.82,76.8,84.41,107.09,125.61,47.04,91.56,294.72,13.31,7.0725,126.86,19.6,1.3381,96.67,105.067,3.0565,19.5833
09/08/13,41.57,56.33,45.92,44.61,76.49,84.39,107.26,125.61,47.025,91.57,300.72,13.58,7.0825,126.86,19.76,1.3342,96.21,104.32,3.0314,19.5569
12/08/13,41.45,56.37,45.88,44.7,76.67,84.39,106.53,125.46,47.06,91.49,302.08,13.65,7.1075,129.13,20.62,1.33,96.9,104.668,3.0429,19.6072
13/08/13,41.48,56.77,46.28,44.42,77.1,84.35,104.99,124.68,46.395,91.49,303.2,13.56,7.1938,127.74,20.71,1.3263,98.2,105.247,3.0701,19.6573
14/08/13,41.19,56.87,46.04,44.13,76.81,84.35,105.15,124.65,46.24,91.31,304.72,13.64,7.1775,129,21.09,1.3255,98.14,104.904,3.0805,19.7442
15/08/13,40.53,56.29,45.4,43.95,75.51,84.32,103.73,124.19,46.04,90.84,305.92,13.62,7.2875,131.69,22.15,1.3347,97.37,105.127,3.1244,20.0533
16/08/13,40.29,56.17,45.38,43.14,75.485,84.33,103.37,124.24,46.06,90.53,307.2,13.845,7.2925,132.58,22.34,1.3329,97.53,105.268,3.1896,20.1789
19/08/13,40.11,56.19,45.28,42.49,75.35,84.31,102.47,124.1,46,89.93,305.36,13.765,7.38,132.01,22.3416,1.3335,97.55,105.562,3.2185,20.4678
20/08/13,40.12,56.46,44.88,42.12,75.68,84.33,103.26,124.48,46.41,90.76,300.16,13.72,7.3475,132.45,22.19,1.3417,97.27,106.035,3.2118,20.3283
21/08/13,39.81,56.17,44.24,41.26,75.42,84.28,102.13,124.18,46.31,90.43,297.36,13.52,7.3425,132.07,22.14,1.3355,97.68,105.91,3.2734,20.7671
22/08/13,39.98,56.36,44.52,41.96,76.16,84.25,103.17,123.9,46.53,90.92,300.32,13.575,7.2225,132.81,22.27,1.3356,98.72,106.927,3.2527,20.4061
23/08/13,40.21,56.34,45.28,43.78,76.67,84.25,104.29,123.89,46.785,91.3,303.6,13.645,7.3038,134.9,23.15,1.3383,98.72,107.059,3.1441,20.173
26/08/13,39.74,56.65,44.76,43.04,76.71,84.28,104.81,124.09,46.785,91.31,303.68,13.645,7.3038,135.45,23.46,1.3368,98.51,106.725,3.1819,20.5417
27/08/13,39.528,55.97,44.28,42.5,75.14,84.32,106.13,124.43,47.19,90.72,310.96,13.6,7.575,136.75,23.59,1.3393,97.03,105.755,3.1775,20.5767
28/08/13,39.23,55.36,44.4,42.42,75.43,84.27,105.27,124.27,47.08,91.06,312.64,13.485,7.54,136.71,23.43,1.334,97.64,105.879,3.1286,20.6749
29/08/13,39.39,55.52,44.36,42.36,75.96,84.29,106.11,124.37,47.03,91.43,308.64,13.295,7.47,135.87,23,1.3241,98.35,105.648,3.1312,20.7135
30/08/13,39.51,55.04,43.48,42.39,75.47,84.3,105.99,124.39,46.93,91.35,307.84,13.115,7.4113,134.62,22.6,1.3222,98.17,105.556,3.1535,20.7437
02/09/13,39.51,56.06,43.48,42.39,75.47,84.3,105.99,124.04,46.7,91.35,307.84,13.21,7.4225,134.62,22.6,1.3192,99.33,106.3,3.1354,20.7283
03/09/13,39.48,55.57,44.56,42.92,75.9,84.25,104.22,123.8,46.535,90.39,310.08,13.26,7.4675,136.42,23.39,1.317,99.57,106.314,3.1094,20.8221
04/09/13,39.725,55.61,45.24,43.22,76.71,84.17,103.99,123.89,46.49,90.73,306.72,13.04,7.34,134.66,22.69,1.3207,99.74,106.645,3.1172,20.7969
05/09/13,39.67,55.67,45.12,44.261,76.84,84.09,102.54,123.18,45.885,90.27,309.52,12.965,7.3025,132.2,22.38,1.312,100.11,105.941,3.0499,20.8749
06/09/13,39.77,55.76,45.28,45.29,76.93,84.17,103.05,123.87,46.355,90.57,314.88,13.15,7.7475,134.15,22.97,1.3178,99.11,105.714,3.0402,20.5798
09/09/13,40.05,55.47,46.44,46.93,77.83,84.19,103.1,123.77,46.27,90.8,311.52,13.14,7.3525,133.91,22.835,1.3255,99.58,106.793,3.0165,20.5677
10/09/13,40.09,55.7,46.8,47.03,78.21,84.16,102.38,123.24,45.735,91.12,306.68,13.1,7.3863,131.74,22.125,1.3268,100.39,107.384,3.0287,20.5938
11/09/13,40.375,56.2,46.48,46.81,78.06,84.2,103.29,123.44,45.85,91.24,307.84,13.095,7.4238,131.7,22.29,1.3311,99.89,107.354,3.029,20.6453
12/09/13,40.39,55.87,46.16,46.27,78.01,84.2,103.15,123.77,46.105,91.13,310.92,12.96,7.375,127.67,21.06,1.3299,99.54,106.964,3.0265,20.6417
13/09/13,40.72,55.79,46.4,46.67,78.06,84.2,103.55,123.96,46.34,91.06,310.8,12.92,7.45,127.82,21.42,1.3294,99.38,106.902,3.0342,20.704
16/09/13,41.09,55.88,47,46.73,77.85,84.26,102.86,124.17,46.52,91.56,304.88,12.995,7.3525,126.45,20.94,1.3334,99.08,106.843,3.0463,20.5548
